CellID,UpperRes,PosShiftIndi,PosBaseShift,PosShift,LowerRes,NegaShiftIndi,NegaBaseShift,NegaShift,ResIndi,Shift,AbsShift,CellLB,CellUB,Weight,Total,RoundedTotal
1,91.911000001,0,0,0,8.088999999,1,0,8.088999999,1,-8.088999999,8.088999999,,,1,963108.089,963100
2,26.7463,1,0,26.7463,73.2537,0,0,0,1,26.7463,26.7463,,,1,70173.2537,70200
3,85.0687,0,0,0,14.9313,1,0,14.9313,1,-14.9313,14.9313,,,1,94714.9313,94700
4,67.430700001,0,0,0,32.569299999,1,0,32.569299999,1,-32.5693,32.569299999,,,1,233532.5693,233500
5,94.5727,0,0,0,5.4272999999,1,0,5.4272999999,1,-5.4273,5.4272999999,,,1,119405.4273,119400
6,23.7776,1,0,23.7776,76.2224,0,0,0,1,23.7776,23.7776,,,1,88676.2224,88700
7,84.5986,0,0,0,15.4014,1,0,15.4014,1,-15.4014,15.4014,,,1,154415.4014,154400
8,7.8809,1,0,7.8809,92.1191,0,0,0,1,7.8809,7.8809,,,1,163892.1191,163900
9,49.5911,0,0,0,50.4089,1,0,50.4089,1,-50.4089,50.4089,,,1,4950.4089,4900
10,12.1187,1,0,12.1187,87.8813,0,0,0,1,12.1187,12.1187,,,1,9887.8813,9900
11,40.1257,1,0,40.1257,59.8743,0,0,0,1,40.1257,40.1257,,,1,23459.8743,23500
12,67.7206,0,0,0,32.2794,1,0,32.2794,1,-32.2794,32.2794,,,1,34332.2794,34300
13,95.0918,0,0,0,4.9082,1,0,4.9082,1,-4.9082,4.9082,,,1,1004.9082,1000
14,74.0797,0,0,0,25.9203,1,0,25.9203,1,-25.9203,25.9203,,,1,22925.9203,22900
15,89.8542,0,0,0,10.1458,1,0,10.1458,1,-10.1458,10.1458,,,1,11910.1458,11900
16,85.0687,0,0,0,14.9313,1,0,14.9313,1,-14.9313,14.9313,,,1,94714.9313,94700
17,67.430700001,0,0,0,32.569299999,1,0,32.569299999,1,-32.5693,32.569299999,,,1,233532.5693,233500
18,94.5727,0,0,0,5.4272999999,1,0,5.4272999999,1,-5.4273,5.4272999999,,,1,119405.4273,119400
19,23.7776,1,0,23.7776,76.2224,0,0,0,1,23.7776,23.7776,,,1,88676.2224,88700
20,84.5986,0,0,0,15.4014,1,0,15.4014,1,-15.4014,15.4014,,,1,154415.4014,154400
21,7.8809,1,0,7.8809,92.1191,0,0,0,1,7.8809,7.8809,,,1,163892.1191,163900
22,49.5911,1,0,49.5911,50.4089,0,0,0,1,49.5911,49.5911,,,1,4950.4089,5000
23,12.1187,1,0,12.1187,87.8813,0,0,0,1,12.1187,12.1187,,,1,9887.8813,9900
24,40.1257,1,0,40.1257,59.8743,0,0,0,1,40.1257,40.1257,,,1,23459.8743,23500
25,40.1853,1,0,40.1853,59.8147,0,0,0,1,40.1853,40.1853,,,1,449459.8147,449500
26,40.0123,0,0,0,59.9877,1,0,59.9877,1,-59.9877,59.9877,,,1,32659.9877,32600
27,97.2927,0,0,0,2.7072999999,1,0,2.7072999999,1,-2.7073,2.7072999999,,,1,46302.7073,46300
28,39.3744,1,0,39.3744,60.6256,0,0,0,1,39.3744,39.3744,,,1,106760.6256,106800
29,86.9186,0,0,0,13.0814,1,0,13.0814,1,-13.0814,13.0814,,,1,55713.0814,55700
30,97.6704,0,0,0,2.3296,1,0,2.3296,1,-2.3296,2.3296,,,1,41102.3296,41100
31,71.114,0,0,0,28.886,1,0,28.886,1,-28.886,28.886,,,1,71328.886,71300
32,31.274,1,0,31.274,68.726,0,0,0,1,31.274,31.274,,,1,77768.726,77800
33,22.5689,1,0,22.5689,77.4311,0,0,0,1,22.5689,22.5689,,,1,1977.4311,2000
34,5.4594,1,0,5.4594,94.5406,0,0,0,1,5.4594,5.4594,,,1,4594.5406,4600
35,48.5006,0,0,0,51.4994,1,0,51.4994,1,-51.4994,51.4994,,,1,11251.4994,11200
36,46.0168,0,0,0,53.9832,1,0,53.9832,1,-53.9832,53.9832,,,1,16453.9832,16400
37,26.5884,1,0,26.5884,73.4116,0,0,0,1,26.5884,26.5884,,,1,473.4116,500
38,72.9989,0,0,0,27.0011,1,0,27.0011,1,-27.0011,27.0011,,,1,11127.0011,11100
39,94.4082,0,0,0,5.5918,1,0,5.5918,1,-5.5918,5.5918,,,1,4605.5918,4600
40,97.2927,0,0,0,2.7072999999,1,0,2.7072999999,1,-2.7073,2.7072999999,,,1,46302.7073,46300
41,39.3744,1,0,39.3744,60.6256,0,0,0,1,39.3744,39.3744,,,1,106760.6256,106800
42,86.9186,0,0,0,13.0814,1,0,13.0814,1,-13.0814,13.0814,,,1,55713.0814,55700
43,97.6704,0,0,0,2.3296,1,0,2.3296,1,-2.3296,2.3296,,,1,41102.3296,41100
44,71.114,0,0,0,28.886,1,0,28.886,1,-28.886,28.886,,,1,71328.886,71300
45,31.274,1,0,31.274,68.726,0,0,0,1,31.274,31.274,,,1,77768.726,77800
46,22.5689,1,0,22.5689,77.4311,0,0,0,1,22.5689,22.5689,,,1,1977.4311,2000
47,5.4594,1,0,5.4594,94.5406,0,0,0,1,5.4594,5.4594,,,1,4594.5406,4600
48,48.5006,0,0,0,51.4994,1,0,51.4994,1,-51.4994,51.4994,,,1,11251.4994,11200
49,51.725700001,0,0,0,48.274299999,1,0,48.274299999,1,-48.2743,48.274299999,,,1,513648.2743,513600
50,86.734,0,0,0,13.266,1,0,13.266,1,-13.266,13.266,,,1,37513.266,37500
51,87.776,0,0,0,12.224,1,0,12.224,1,-12.224,12.224,,,1,48412.224,48400
52,28.0563,1,0,28.0563,71.9437,0,0,0,1,28.0563,28.0563,,,1,126771.9437,126800
53,7.6541000001,1,0,7.6541000001,92.3459,0,0,0,1,7.6541000001,7.6541000001,,,1,63692.3459,63700
54,26.1072,1,0,26.1072,73.8928,0,0,0,1,26.1072,26.1072,,,1,47573.8928,47600
55,13.4846,1,0,13.4846,86.5154,0,0,0,1,13.4846,13.4846,,,1,83086.5154,83100
56,76.6069,0,0,0,23.3931,1,0,23.3931,1,-23.3931,23.3931,,,1,86123.3931,86100
57,27.0222,1,0,27.0222,72.9778,0,0,0,1,27.0222,27.0222,,,1,2972.9778,3000
58,6.6593,1,0,6.6593,93.3407,0,0,0,1,6.6593,6.6593,,,1,5293.3407,5300
59,91.6251,0,0,0,8.3749,1,0,8.3749,1,-8.3749,8.3749,,,1,12208.3749,12200
60,21.7038,1,0,21.7038,78.2962,0,0,0,1,21.7038,21.7038,,,1,17878.2962,17900
61,68.5034,0,0,0,31.4966,1,0,31.4966,1,-31.4966,31.4966,,,1,531.4966,500
62,1.0808,1,0,1.0808,98.9192,0,0,0,1,1.0808,1.0808,,,1,11798.9192,11800
63,95.446,0,0,0,4.554,1,0,4.554,1,-4.554,4.554,,,1,7304.554,7300
