YEAR,SEX,NPRCODE,NPRCODEG,RoundedTotal
2015,,,,963200
2015,,,14,70200
2015,,,24,94700
2015,,,35,233500
2015,,,46,119400
2015,,,47,88700
2015,,,48,154400
2015,,,59,163900
2015,,,60,5000
2015,,,61,9900
2015,,,62,23500
2015,,10,,34400
2015,,11,,1000
2015,,12,,22900
2015,,13,,11900
2015,,24,,94700
2015,,35,,233500
2015,,46,,119400
2015,,47,,88700
2015,,48,,154400
2015,,59,,163900
2015,,60,,5000
2015,,61,,9900
2015,,62,,23500
2015,1,,,449500
2015,1,,14,32700
2015,1,,24,46300
2015,1,,35,106700
2015,1,,46,55700
2015,1,,47,41100
2015,1,,48,71300
2015,1,,59,77800
2015,1,,60,2000
2015,1,,61,4600
2015,1,,62,11300
2015,1,10,,16500
2015,1,11,,500
2015,1,12,,11100
2015,1,13,,4600
2015,1,24,,46300
2015,1,35,,106700
2015,1,46,,55700
2015,1,47,,41100
2015,1,48,,71300
2015,1,59,,77800
2015,1,60,,2000
2015,1,61,,4600
2015,1,62,,11300
2015,2,,,513700
2015,2,,14,37500
2015,2,,24,48400
2015,2,,35,126800
2015,2,,46,63700
2015,2,,47,47600
2015,2,,48,83100
2015,2,,59,86100
2015,2,,60,3000
2015,2,,61,5300
2015,2,,62,12200
2015,2,10,,17900
2015,2,11,,500
2015,2,12,,11800
2015,2,13,,7300
2015,2,24,,48400
2015,2,35,,126800
2015,2,46,,63700
2015,2,47,,47600
2015,2,48,,83100
2015,2,59,,86100
2015,2,60,,3000
2015,2,61,,5300
2015,2,62,,12200
