OutStatus,NetVariation,QuestionNumber,CellId,NbAnonym,AnonymTotalVar,NbRespondents,TotalVar,Sensitivity,Status,Type,TotalNoise,Prov,Naics
b'X',15.149999999999991,1.0,1.0,0.0,0.0,1.0,101.0,15.149999999999991,b'S',b'C',101.0,b'1',b'1'
b'X',15.149999999999991,1.0,2.0,0.0,0.0,1.0,101.0,15.149999999999991,b'S',b'C',101.0,b'2',b'1'
b'X',15.149999999999991,1.0,3.0,0.0,0.0,1.0,202.0,30.299999999999983,b'S',b'C',202.0,b'1',b'2'
b'P',0.0,1.0,4.0,0.0,0.0,3.0,609.0,-57.55000000000001,b'V',b'C',609.0,b'1',b'3'
b'P',0.0,1.0,5.0,0.0,0.0,6.0,1013.0,-461.54999999999995,b'V',b'C',1013.0,b'0',b'0'
b'X',15.149999999999991,1.0,6.0,0.0,0.0,5.0,912.0,-360.54999999999995,b'V',b'C',912.0,b'1',b'0'
b'X',15.149999999999991,1.0,7.0,0.0,0.0,1.0,101.0,15.149999999999991,b'S',b'C',101.0,b'2',b'0'
b'X',15.149999999999991,1.0,8.0,0.0,0.0,2.0,202.0,15.149999999999991,b'S',b'C',202.0,b'0',b'1'
b'X',15.149999999999991,1.0,9.0,0.0,0.0,1.0,202.0,30.299999999999983,b'S',b'C',202.0,b'0',b'2'
b'P',0.0,1.0,10.0,0.0,0.0,3.0,609.0,-57.55000000000001,b'V',b'C',609.0,b'0',b'3'
b'X',15.149999999999991,1.0,11.0,0.0,0.0,2.0,303.0,30.299999999999983,b'S',b'A',303.0,,
b'X',15.149999999999991,2.0,12.0,0.0,0.0,1.0,101.0,15.149999999999991,b'S',b'C',101.0,b'1',b'1'
b'X',15.149999999999991,2.0,13.0,0.0,0.0,1.0,101.0,15.149999999999991,b'S',b'C',101.0,b'2',b'1'
b'X',15.149999999999991,2.0,14.0,0.0,0.0,1.0,202.0,30.299999999999983,b'S',b'C',202.0,b'1',b'2'
b'P',0.0,2.0,15.0,0.0,0.0,3.0,609.0,-57.55000000000001,b'V',b'C',609.0,b'1',b'3'
b'P',0.0,2.0,16.0,0.0,0.0,6.0,1013.0,-461.54999999999995,b'V',b'C',1013.0,b'0',b'0'
b'X',15.149999999999991,2.0,17.0,0.0,0.0,5.0,912.0,-360.54999999999995,b'V',b'C',912.0,b'1',b'0'
b'X',15.149999999999991,2.0,18.0,0.0,0.0,1.0,101.0,15.149999999999991,b'S',b'C',101.0,b'2',b'0'
b'X',15.149999999999991,2.0,19.0,0.0,0.0,2.0,202.0,15.149999999999991,b'S',b'C',202.0,b'0',b'1'
b'X',15.149999999999991,2.0,20.0,0.0,0.0,1.0,202.0,30.299999999999983,b'S',b'C',202.0,b'0',b'2'
b'P',0.0,2.0,21.0,0.0,0.0,3.0,609.0,-57.55000000000001,b'V',b'C',609.0,b'0',b'3'
b'X',15.149999999999991,2.0,22.0,0.0,0.0,2.0,303.0,30.299999999999983,b'S',b'A',303.0,,
b'X',15.149999999999991,3.0,23.0,0.0,0.0,1.0,101.0,15.149999999999991,b'S',b'C',101.0,b'1',b'1'
b'X',15.149999999999991,3.0,24.0,0.0,0.0,1.0,101.0,15.149999999999991,b'S',b'C',101.0,b'2',b'1'
b'X',15.149999999999991,3.0,25.0,0.0,0.0,1.0,202.0,30.299999999999983,b'S',b'C',202.0,b'1',b'2'
b'P',0.0,3.0,26.0,0.0,0.0,3.0,609.0,-57.55000000000001,b'V',b'C',609.0,b'1',b'3'
b'P',0.0,3.0,27.0,0.0,0.0,6.0,1013.0,-461.54999999999995,b'V',b'C',1013.0,b'0',b'0'
b'X',15.149999999999991,3.0,28.0,0.0,0.0,5.0,912.0,-360.54999999999995,b'V',b'C',912.0,b'1',b'0'
b'X',15.149999999999991,3.0,29.0,0.0,0.0,1.0,101.0,15.149999999999991,b'S',b'C',101.0,b'2',b'0'
b'X',15.149999999999991,3.0,30.0,0.0,0.0,2.0,202.0,15.149999999999991,b'S',b'C',202.0,b'0',b'1'
b'X',15.149999999999991,3.0,31.0,0.0,0.0,1.0,202.0,30.299999999999983,b'S',b'C',202.0,b'0',b'2'
b'P',0.0,3.0,32.0,0.0,0.0,3.0,609.0,-57.55000000000001,b'V',b'C',609.0,b'0',b'3'
b'X',15.149999999999991,3.0,33.0,0.0,0.0,2.0,303.0,30.299999999999983,b'S',b'A',303.0,,
