,CellId,OutStatus,NetVariation,NbAnonym,AnonymTotalVar,NbRespondents,TotalVar,Sensitivity,Status,Type,TotalNoise,Province,Industry,cvar_J,cvar_J12
0,1.0,P,0.0,0.0,0.0,5.0,1989.0,-5.250000000000227,V,C,1989.0,10,A,1989.0,1989.0
1,2.0,P,0.0,0.0,0.0,5.0,346.0,-104.10000000000002,V,C,346.0,10,B,346.0,346.0
2,3.0,X,13.475,0.0,0.0,5.0,940.0,-12.150000000000091,V,C,940.0,10,C,940.0,940.0
3,4.0,P,0.0,0.0,0.0,5.0,2303.0,-285.25,V,C,2303.0,10,D,2303.0,2303.0
4,5.0,P,0.0,0.0,0.0,5.0,3026.0,-477.0500000000002,V,C,3026.0,10,E,3026.0,3026.0
5,6.0,P,0.0,0.0,0.0,5.0,5937.0,-1659.5,V,C,5937.0,10,F,5937.0,5937.0
6,7.0,P,0.0,0.0,0.0,5.0,5705.0,-2863.3500000000004,V,C,5705.0,10,G,5705.0,5705.0
7,8.0,P,0.0,0.0,0.0,5.0,3528.0,-69.15000000000009,V,C,3528.0,10,H,3528.0,3528.0
8,9.0,P,0.0,0.0,0.0,5.0,3114.0,-559.0500000000002,V,C,3114.0,10,I,3114.0,3114.0
9,10.0,X,13.475,0.0,0.0,5.0,880.0,-196.3,V,C,880.0,10,J,1.0,1.0
10,11.0,P,0.0,0.0,0.0,5.0,1233.0,-338.6500000000001,V,C,1233.0,11,A,1233.0,1233.0
11,12.0,P,0.0,0.0,0.0,5.0,2841.0,-281.60000000000014,V,C,2841.0,11,B,2841.0,2841.0
12,13.0,P,0.0,0.0,0.0,5.0,3073.0,-621.45,V,C,3073.0,11,C,3073.0,3073.0
13,14.0,P,0.0,0.0,0.0,5.0,2584.0,-460.7500000000002,V,C,2584.0,11,D,2584.0,2584.0
14,15.0,P,0.0,0.0,0.0,5.0,692.0,-192.5,V,C,692.0,11,E,692.0,692.0
15,16.0,X,7.0,0.0,0.0,5.0,563.0,13.999999999999943,S,C,563.0,11,F,563.0,563.0
16,17.0,P,0.0,0.0,0.0,5.0,6067.0,-1946.8500000000004,V,C,6067.0,11,G,6067.0,6067.0
17,18.0,P,0.0,0.0,0.0,5.0,2365.0,-428.95000000000005,V,C,2365.0,11,H,2365.0,2365.0
18,19.0,X,11.225,0.0,0.0,5.0,2444.0,22.449999999999818,S,C,2444.0,11,I,2444.0,2444.0
19,20.0,X,11.225,0.0,0.0,5.0,2507.0,-509.9000000000001,V,C,2507.0,11,J,1.0,1.0
20,21.0,P,0.0,0.0,0.0,5.0,3424.0,-957.5000000000002,V,C,3424.0,12,A,3424.0,22000.0
21,22.0,X,5.675,0.0,0.0,5.0,4382.0,-1347.1000000000004,V,C,4382.0,12,B,4382.0,22000.0
22,23.0,P,0.0,0.0,0.0,5.0,4336.0,-1222.5500000000002,V,C,4336.0,12,C,4336.0,22000.0
23,24.0,P,0.0,0.0,0.0,5.0,1458.0,-211.80000000000007,V,C,1458.0,12,D,1458.0,22000.0
24,25.0,P,0.0,0.0,0.0,5.0,3302.0,-110.70000000000027,V,C,3302.0,12,E,3302.0,22000.0
25,26.0,P,0.0,0.0,0.0,5.0,4764.0,-1616.9499999999998,V,C,4764.0,12,F,4764.0,22000.0
26,27.0,P,0.0,0.0,0.0,5.0,3499.0,-327.9000000000001,V,C,3499.0,12,G,3499.0,22000.0
27,28.0,X,5.675,0.0,0.0,5.0,1209.0,11.349999999999909,S,C,1209.0,12,H,1209.0,22000.0
28,29.0,P,0.0,0.0,0.0,5.0,960.0,-53.450000000000045,V,C,960.0,12,I,960.0,22000.0
29,30.0,P,0.0,0.0,0.0,5.0,5143.0,-1050.75,V,C,5143.0,12,J,1.0,22000.0
30,31.0,P,0.0,0.0,0.0,5.0,2182.0,-321.7500000000002,V,C,2182.0,13,A,2182.0,2182.0
31,32.0,P,0.0,0.0,0.0,5.0,1222.0,-386.05000000000007,V,C,1222.0,13,B,1222.0,1222.0
32,33.0,P,0.0,0.0,0.0,5.0,2527.0,-482.0500000000002,V,C,2527.0,13,C,2527.0,2527.0
33,34.0,P,0.0,0.0,0.0,5.0,1872.0,-303.45000000000005,V,C,1872.0,13,D,1872.0,1872.0
34,35.0,P,0.0,0.0,0.0,5.0,2302.0,-614.0,V,C,2302.0,13,E,2302.0,2302.0
35,36.0,X,7.0,0.0,0.0,5.0,926.0,-281.6,V,C,926.0,13,F,926.0,926.0
36,37.0,P,0.0,0.0,0.0,5.0,5712.0,-1760.2000000000003,V,C,5712.0,13,G,5712.0,5712.0
37,38.0,P,0.0,0.0,0.0,5.0,2692.0,-156.75000000000023,V,C,2692.0,13,H,2692.0,2692.0
38,39.0,P,0.0,0.0,0.0,5.0,2271.0,-365.20000000000005,V,C,2271.0,13,I,2271.0,2271.0
39,40.0,X,7.0,0.0,0.0,5.0,1672.0,-155.9000000000001,V,C,1672.0,13,J,1.0,1.0
40,41.0,P,0.0,0.0,0.0,5.0,2837.0,-1302.45,V,C,2837.0,24,A,2837.0,2837.0
41,42.0,X,110.275,0.0,0.0,5.0,2427.0,47.84999999999991,S,C,2427.0,24,B,2427.0,2427.0
42,43.0,P,0.0,0.0,0.0,5.0,2312.0,-506.6500000000001,V,C,2312.0,24,C,2312.0,2312.0
43,44.0,P,0.0,0.0,0.0,5.0,1610.0,-57.35000000000002,V,C,1610.0,24,D,1610.0,1610.0
44,45.0,P,0.0,0.0,0.0,5.0,2649.0,-174.75,V,C,2649.0,24,E,2649.0,2649.0
45,46.0,P,0.0,0.0,0.0,5.0,5070.0,-1231.3000000000002,V,C,5070.0,24,F,5070.0,5070.0
46,47.0,P,0.0,0.0,0.0,5.0,1247.0,-193.0,V,C,1247.0,24,G,1247.0,1247.0
47,48.0,X,110.275,0.0,0.0,5.0,3443.0,-912.45,V,C,3443.0,24,H,3443.0,3443.0
48,49.0,X,11.225,0.0,0.0,5.0,1987.0,-410.20000000000005,V,C,1987.0,24,I,1987.0,1987.0
49,50.0,P,0.0,0.0,0.0,5.0,3092.0,-720.4000000000001,V,C,3092.0,24,J,1.0,1.0
50,51.0,P,0.0,0.0,0.0,5.0,3444.0,-653.6000000000001,V,C,3444.0,35,A,3444.0,3444.0
51,52.0,X,110.275,0.0,0.0,5.0,3685.0,139.25,S,C,3685.0,35,B,3685.0,3685.0
52,53.0,X,13.475,0.0,0.0,5.0,2529.0,26.949999999999818,S,C,2529.0,35,C,2529.0,2529.0
53,54.0,P,0.0,0.0,0.0,5.0,1046.0,-230.6500000000001,V,C,1046.0,35,D,1046.0,1046.0
54,55.0,P,0.0,0.0,0.0,5.0,1468.0,-64.20000000000005,V,C,1468.0,35,E,1468.0,1468.0
55,56.0,P,0.0,0.0,0.0,5.0,5063.0,-1367.3500000000004,V,C,5063.0,35,F,5063.0,5063.0
56,57.0,P,0.0,0.0,0.0,5.0,3015.0,-426.8000000000002,V,C,3015.0,35,G,3015.0,3015.0
57,58.0,X,110.275,0.0,0.0,5.0,2361.0,220.54999999999973,S,C,2361.0,35,H,2361.0,2361.0
58,59.0,P,0.0,0.0,0.0,5.0,3974.0,-834.3000000000002,V,C,3974.0,35,I,3974.0,3974.0
59,60.0,X,35.875,0.0,0.0,5.0,2915.0,-55.5,V,C,2915.0,35,J,1.0,1.0
60,61.0,P,0.0,0.0,0.0,5.0,3792.0,-442.0500000000002,V,C,3792.0,46,A,3792.0,3792.0
61,62.0,P,0.0,0.0,0.0,5.0,2405.0,-522.6500000000001,V,C,2405.0,46,B,2405.0,2405.0
62,63.0,P,0.0,0.0,0.0,5.0,1749.0,-314.80000000000007,V,C,1749.0,46,C,1749.0,1749.0
63,64.0,P,0.0,0.0,0.0,5.0,5859.0,-1810.65,V,C,5859.0,46,D,5859.0,5859.0
64,65.0,P,0.0,0.0,0.0,5.0,2376.0,-528.7,V,C,2376.0,46,E,2376.0,2376.0
65,66.0,P,0.0,0.0,0.0,5.0,4809.0,-1114.4500000000003,V,C,4809.0,46,F,4809.0,4809.0
66,67.0,P,0.0,0.0,0.0,5.0,5567.0,-2070.1000000000004,V,C,5567.0,46,G,5567.0,5567.0
67,68.0,P,0.0,0.0,0.0,5.0,3322.0,-300.9000000000001,V,C,3322.0,46,H,3322.0,3322.0
68,69.0,P,0.0,0.0,0.0,5.0,2821.0,-46.95000000000027,V,C,2821.0,46,I,2821.0,2821.0
69,70.0,P,0.0,0.0,0.0,5.0,1068.0,-53.75,V,C,1068.0,46,J,1.0,1.0
70,71.0,X,39.5,0.0,0.0,5.0,1575.0,78.99999999999977,S,C,1575.0,47,A,1575.0,1575.0
71,72.0,P,0.0,0.0,0.0,5.0,4770.0,-1522.9500000000003,V,C,4770.0,47,B,4770.0,4770.0
72,73.0,P,0.0,0.0,0.0,5.0,2939.0,-903.45,V,C,2939.0,47,C,2939.0,2939.0
73,74.0,P,0.0,0.0,0.0,5.0,1767.0,-179.5,V,C,1767.0,47,D,1767.0,1767.0
74,75.0,P,0.0,0.0,0.0,5.0,1524.0,-16.350000000000136,V,C,1524.0,47,E,1524.0,1524.0
75,76.0,P,0.0,0.0,0.0,5.0,3460.0,-1042.9,V,C,3460.0,47,F,3460.0,3460.0
76,77.0,P,0.0,0.0,0.0,5.0,440.0,-106.95000000000002,V,C,440.0,47,G,440.0,440.0
77,78.0,P,0.0,0.0,0.0,5.0,3319.0,-429.4500000000003,V,C,3319.0,47,H,3319.0,3319.0
78,79.0,P,0.0,0.0,0.0,5.0,2281.0,-405.95000000000005,V,C,2281.0,47,I,2281.0,2281.0
79,80.0,X,39.5,0.0,0.0,5.0,4627.0,-1094.15,V,C,4627.0,47,J,1.0,1.0
80,81.0,P,0.0,0.0,0.0,5.0,1313.0,-143.70000000000005,V,C,1313.0,48,A,1313.0,1313.0
81,82.0,P,0.0,0.0,0.0,5.0,2676.0,-610.0500000000002,V,C,2676.0,48,B,2676.0,2676.0
82,83.0,P,0.0,0.0,0.0,5.0,3237.0,-692.45,V,C,3237.0,48,C,3237.0,3237.0
83,84.0,P,0.0,0.0,0.0,5.0,5689.0,-2270.5,V,C,5689.0,48,D,5689.0,5689.0
84,85.0,P,0.0,0.0,0.0,5.0,5483.0,-1237.1000000000004,V,C,5483.0,48,E,5483.0,5483.0
85,86.0,P,0.0,0.0,0.0,5.0,4794.0,-434.10000000000036,V,C,4794.0,48,F,4794.0,4794.0
86,87.0,P,0.0,0.0,0.0,5.0,2503.0,-248.95000000000005,V,C,2503.0,48,G,2503.0,2503.0
87,88.0,P,0.0,0.0,0.0,5.0,1348.0,-38.90000000000009,V,C,1348.0,48,H,1348.0,1348.0
88,89.0,P,0.0,0.0,0.0,5.0,3724.0,-673.8500000000001,V,C,3724.0,48,I,3724.0,3724.0
89,90.0,P,0.0,0.0,0.0,5.0,1434.0,-159.7500000000001,V,C,1434.0,48,J,1.0,1.0
90,91.0,X,39.5,0.0,0.0,5.0,661.0,-143.50000000000006,V,C,661.0,59,A,661.0,661.0
91,92.0,X,35.875,0.0,0.0,5.0,2897.0,71.75,S,C,2897.0,59,B,2897.0,2897.0
92,93.0,P,0.0,0.0,0.0,5.0,2113.0,-774.9000000000001,V,C,2113.0,59,C,2113.0,2113.0
93,94.0,P,0.0,0.0,0.0,5.0,3292.0,-382.75,V,C,3292.0,59,D,3292.0,3292.0
94,95.0,P,0.0,0.0,0.0,5.0,1556.0,-163.2500000000001,V,C,1556.0,59,E,1556.0,1556.0
95,96.0,P,0.0,0.0,0.0,5.0,2980.0,-442.5000000000002,V,C,2980.0,59,F,2980.0,2980.0
96,97.0,P,0.0,0.0,0.0,5.0,5991.0,-2329.7000000000003,V,C,5991.0,59,G,5991.0,5991.0
97,98.0,P,0.0,0.0,0.0,5.0,4023.0,-1629.9499999999998,V,C,4023.0,59,H,4023.0,4023.0
98,99.0,P,0.0,0.0,0.0,5.0,3652.0,-0.650000000000091,V,C,3652.0,59,I,3652.0,3652.0
99,100.0,X,39.5,0.0,0.0,5.0,4946.0,-1474.4499999999998,V,C,4946.0,59,J,1.0,1.0
100,101.0,P,0.0,0.0,0.0,500.0,288948.0,-284365.05,V,C,288948.0,TOT_PROVINCE,TOT_INDUSTRY,288948.0,288948.0
101,102.0,P,0.0,0.0,0.0,50.0,27768.0,-23405.5,V,C,27768.0,10,TOT_INDUSTRY,27768.0,27768.0
102,103.0,P,0.0,0.0,0.0,50.0,24369.0,-20248.85,V,C,24369.0,11,TOT_INDUSTRY,24369.0,24369.0
103,104.0,P,0.0,0.0,0.0,50.0,32477.0,-27970.9,V,C,32477.0,12,TOT_INDUSTRY,32477.0,22000.0
104,105.0,P,0.0,0.0,0.0,50.0,23378.0,-19426.2,V,C,23378.0,13,TOT_INDUSTRY,23378.0,23378.0
105,106.0,P,0.0,0.0,0.0,50.0,26674.0,-22835.3,V,C,26674.0,24,TOT_INDUSTRY,26674.0,26674.0
106,107.0,P,0.0,0.0,0.0,50.0,29500.0,-25156.45,V,C,29500.0,35,TOT_INDUSTRY,29500.0,29500.0
107,108.0,P,0.0,0.0,0.0,50.0,33768.0,-29266.05,V,C,33768.0,46,TOT_INDUSTRY,33768.0,33768.0
108,109.0,P,0.0,0.0,0.0,50.0,26702.0,-22443.45,V,C,26702.0,47,TOT_INDUSTRY,26702.0,26702.0
109,110.0,P,0.0,0.0,0.0,50.0,32201.0,-27733.1,V,C,32201.0,48,TOT_INDUSTRY,32201.0,32201.0
110,111.0,P,0.0,0.0,0.0,50.0,32111.0,-27684.7,V,C,32111.0,59,TOT_INDUSTRY,32111.0,32111.0
111,112.0,P,0.0,0.0,0.0,50.0,22450.0,-18327.05,V,C,22450.0,TOT_PROVINCE,A,22450.0,22450.0
112,113.0,P,0.0,0.0,0.0,50.0,27651.0,-23457.75,V,C,27651.0,TOT_PROVINCE,B,27651.0,27651.0
113,114.0,P,0.0,0.0,0.0,50.0,25755.0,-21966.05,V,C,25755.0,TOT_PROVINCE,C,25755.0,25755.0
114,115.0,P,0.0,0.0,0.0,50.0,27480.0,-23067.75,V,C,27480.0,TOT_PROVINCE,D,27480.0,27480.0
115,116.0,P,0.0,0.0,0.0,50.0,24378.0,-20112.1,V,C,24378.0,TOT_PROVINCE,E,24378.0,24378.0
116,117.0,P,0.0,0.0,0.0,50.0,38366.0,-33810.5,V,C,38366.0,TOT_PROVINCE,F,38366.0,38366.0
117,118.0,P,0.0,0.0,0.0,50.0,39746.0,-35252.9,V,C,39746.0,TOT_PROVINCE,G,39746.0,39746.0
118,119.0,P,0.0,0.0,0.0,50.0,27610.0,-23121.45,V,C,27610.0,TOT_PROVINCE,H,27610.0,27610.0
119,120.0,P,0.0,0.0,0.0,50.0,27228.0,-22950.95,V,C,27228.0,TOT_PROVINCE,I,27228.0,27228.0
120,121.0,P,0.0,0.0,0.0,50.0,28284.0,-23987.75,V,C,28284.0,TOT_PROVINCE,J,28284.0,28284.0
